epoch,train_loss,train_data_loss,train_phys_loss,val_loss,val_data_loss,val_phys_loss,lr
1,3.881368637084961,3.685734272003174,3.91268527507782,2.7178564071655273,2.536970535914103,3.6177175045013428,0.001
2,3.7747485637664795,3.584334969520569,3.8082704544067383,2.635561943054199,2.459318478902181,3.5248677730560303,0.001
3,3.695401191711426,3.5088785886764526,3.7304508686065674,2.551797310511271,2.380291223526001,3.4301203886667886,0.001
4,3.6316529512405396,3.448262095451355,3.6678171157836914,2.4712351163228354,2.3042970498402915,3.338760773340861,0.001
5,3.5144286155700684,3.336780548095703,3.552959442138672,2.3902057806650796,2.227874199549357,3.2466302712758384,0.001
6,3.4515069723129272,3.2769412994384766,3.491314649581909,2.3075579007466636,2.149937868118286,3.1524011294047036,0.001
7,3.3460593223571777,3.176681399345398,3.3875573873519897,2.2214012145996094,2.0687080224355063,3.053864320119222,0.001
8,3.256858706474304,3.0918495655059814,3.300183415412903,2.1283419132232666,1.9809883832931519,2.947070598602295,0.001
9,3.178585648536682,3.0174219608306885,3.223273277282715,2.0382755200068154,1.8961090246836345,2.8433310985565186,0.001
10,3.0626715421676636,2.9072134494781494,3.1091599464416504,1.9377212127049763,1.8013694683710735,2.7270352045694985,0.001
11,2.9511661529541016,2.8011990785598755,2.9993417263031006,1.8269692262013753,1.69705331325531,2.598318576812744,0.001
12,2.8454670906066895,2.7006585597991943,2.8961716890335083,1.7017539342244465,1.579157789548238,2.451922655105591,0.001
13,2.6707550287246704,2.5345596075057983,2.7239081859588623,1.5568969249725342,1.4428328275680542,2.2812825043996177,0.001
14,2.50834321975708,2.380190134048462,2.563060760498047,1.3847994009653728,1.2809740702311199,2.076507012049357,0.001
15,2.305420756340027,2.1872540712356567,2.363333582878113,1.1863714456558228,1.0945167144139607,1.8370943466822307,0.001
16,2.1908981800079346,2.0782206058502197,2.253551483154297,0.9670537114143372,0.8886910279591879,1.567253589630127,0.001
17,1.8362782001495361,1.7412465810775757,1.9006322622299194,0.7366446455319723,0.672860324382782,1.275686264038086,0.001
18,1.4722433686256409,1.39531409740448,1.5385852456092834,0.4973956147829692,0.4494207004706065,0.9594980875651041,0.001
19,1.2301210165023804,1.1652093529701233,1.2982329726219177,0.2750379145145416,0.24288496871789297,0.6430588563283285,0.001
20,0.9384542405605316,0.8881934881210327,1.0052146315574646,0.0980086699128151,0.08045689016580582,0.35103557507197064,0.001
21,0.6481726467609406,0.612393394112587,0.7155854105949402,0.00869844357172648,0.0024057422415353358,0.12585402528444925,0.001
22,0.34235310554504395,0.322301983833313,0.4010225534439087,0.04619726290305456,0.045729724069436394,0.009350762702524662,0.001
23,0.10372099280357361,0.09632999822497368,0.14781996607780457,0.24832126994927725,0.24657398959000906,0.03494564940532049,0.001
24,0.04987390525639057,0.046254392713308334,0.07239027507603168,0.5984165668487549,0.5879645347595215,0.20904071629047394,0.001
25,0.1323162019252777,0.12591156363487244,0.12809284776449203,0.8490660985310873,0.8309452533721924,0.36241669456164044,0.001
26,0.19621574878692627,0.18742356076836586,0.17584379017353058,0.9256381392478943,0.9050431450208029,0.41189975539843243,0.001
27,0.23503827303647995,0.22414183244109154,0.2179289013147354,0.8633860548337301,0.8448062936464945,0.3715954124927521,0.001
28,0.09081950038671494,0.08693347498774529,0.07772047072649002,0.7124191125233968,0.6985724369684855,0.2769334812959035,0.001
29,0.1350572146475315,0.12707103043794632,0.15972375497221947,0.5537903308868408,0.5446141362190247,0.1835237294435501,0.001
30,0.07284990884363651,0.06902360916137695,0.07652595639228821,0.40434688329696655,0.39915692806243896,0.10379908978939056,0.001
31,0.05353540927171707,0.05073685757815838,0.0559710469096899,0.26399362583955127,0.26194992661476135,0.040873926132917404,0.001
32,0.04213390126824379,0.038510787300765514,0.07246228866279125,0.1973155438899994,0.19642353057861328,0.017840294788281124,0.0005
33,0.04140573088079691,0.03767207404598594,0.07467314414680004,0.18462065855662027,0.18390988310178122,0.014215435522298018,0.0005
34,0.05701613798737526,0.05276304669678211,0.08506181091070175,0.19052132964134216,0.18972808122634888,0.015864937876661617,0.0005
35,0.058038877323269844,0.053344447165727615,0.09388858452439308,0.2051056275765101,0.20409543812274933,0.02020382819076379,0.0005
36,0.04325561132282019,0.039941922295838594,0.06627378426492214,0.22536889712015787,0.22402930756409964,0.02679179112116496,0.0005
37,0.06214380823075771,0.057015021331608295,0.10257573425769806,0.25346871217091876,0.25162576138973236,0.03685901934901873,0.0005
38,0.05457773432135582,0.04994708113372326,0.09261306002736092,0.2811988989512126,0.27881407737731934,0.04769630481799444,0.0005
39,0.0964856669306755,0.0890407394617796,0.14889847487211227,0.3008793890476227,0.2980865041414897,0.05585776890317599,0.0005
40,0.03878768207505345,0.03524771286174655,0.07079940009862185,0.32284403840700787,0.31957531968752545,0.06537449608246486,0.0005
41,0.02021872252225876,0.01877270732074976,0.02892029331997037,0.33965644240379333,0.33601028720537823,0.0729231412212054,0.0005
42,0.061565302312374115,0.05825452506542206,0.066215505823493,0.33817697564760846,0.3345644474029541,0.07225067416826884,0.0005
43,0.04355115815997124,0.040650054812431335,0.05802207812666893,0.3270478347937266,0.32368571559588116,0.06724220017592113,0.00025
44,0.043797620572149754,0.041393538005650043,0.04808163456618786,0.3128279944260915,0.30977873007456463,0.06098510945836703,0.00025
45,0.06289084441959858,0.05874692648649216,0.08287835866212845,0.29075207312901813,0.28817140062650043,0.0516133022805055,0.00025
46,0.048005374148488045,0.044701021164655685,0.06608706153929234,0.27216582000255585,0.2699619730313619,0.04407699033617973,0.00025
