epoch,train_loss,train_data_loss,train_phys_loss,val_loss,val_data_loss,val_phys_loss,lr
1,2.6134873628616333,2.6134873628616333,0.0,1.8166235089302063,1.8166235089302063,0.0,0.001
2,2.349697709083557,2.349697709083557,0.0,1.468020260334015,1.468020260334015,0.0,0.001
3,1.9393478234608967,1.9393478234608967,0.0,0.8605601787567139,0.8605601787567139,0.0,0.001
4,1.1615946491559346,1.1615946491559346,0.0,0.0730732511729002,0.0730732511729002,0.0,0.001
5,0.19905092536161342,0.19905092536161342,0.0,0.5978856384754181,0.5978856384754181,0.0,0.001
6,0.3122689053416252,0.3122689053416252,0.0,0.2929593622684479,0.2929593622684479,0.0,0.001
7,0.12648472469300032,0.12648472469300032,0.0,0.0013152004685252905,0.0013152004685252905,0.0,0.001
8,0.04918984075387319,0.04918984075387319,0.0,0.08085530623793602,0.08085530623793602,0.0,0.001
9,0.022541668576498825,0.022541668576498825,0.0,0.11990851908922195,0.11990851908922195,0.0,0.001
10,0.026689231550941866,0.026689231550941866,0.0,0.02319926954805851,0.02319926954805851,0.0,0.001
11,0.01874624751508236,0.01874624751508236,0.0,0.01953498087823391,0.01953498087823391,0.0,0.001
12,0.012137949311484894,0.012137949311484894,0.0,0.017536635510623455,0.017536635510623455,0.0,0.001
13,0.01631545415148139,0.01631545415148139,0.0,0.015437059570103884,0.015437059570103884,0.0,0.001
14,0.016111529897898436,0.016111529897898436,0.0,0.004217122099362314,0.004217122099362314,0.0,0.001
15,0.014811113011091948,0.014811113011091948,0.0,0.002858759951777756,0.002858759951777756,0.0,0.001
16,0.01610732590779662,0.01610732590779662,0.0,0.008560546208173037,0.008560546208173037,0.0,0.001
17,0.018332745414227247,0.018332745414227247,0.0,0.0038616706151515245,0.0038616706151515245,0.0,0.001
18,0.018822253371278446,0.018822253371278446,0.0,0.0012470274523366243,0.0012470274523366243,0.0,0.001
19,0.01724781235679984,0.01724781235679984,0.0,0.0014661809836979955,0.0014661809836979955,0.0,0.001
20,0.018779850099235773,0.018779850099235773,0.0,0.00959512684494257,0.00959512684494257,0.0,0.001
21,0.016525260017563898,0.016525260017563898,0.0,0.018815746065229177,0.018815746065229177,0.0,0.001
22,0.014059193121890226,0.014059193121890226,0.0,0.0042053983779624104,0.0042053983779624104,0.0,0.001
23,0.016842343999693792,0.016842343999693792,0.0,0.0003192000003764406,0.0003192000003764406,0.0,0.001
24,0.014066894228259722,0.014066894228259722,0.0,0.010841988259926438,0.010841988259926438,0.0,0.001
25,0.013404336757957935,0.013404336757957935,0.0,0.001980447879759595,0.001980447879759595,0.0,0.001
26,0.012769218379010757,0.012769218379010757,0.0,0.023641555570065975,0.023641555570065975,0.0,0.001
27,0.016640715921918552,0.016640715921918552,0.0,0.0011768961267080158,0.0011768961267080158,0.0,0.001
28,0.013623013471563658,0.013623013471563658,0.0,0.0006601329951081425,0.0006601329951081425,0.0,0.001
29,0.010508665504554907,0.010508665504554907,0.0,0.0021489123464562,0.0021489123464562,0.0,0.001
30,0.010561747942119837,0.010561747942119837,0.0,0.002053121104836464,0.002053121104836464,0.0,0.001
31,0.013873986123750607,0.013873986123750607,0.0,0.002888266753870994,0.002888266753870994,0.0,0.001
32,0.01189306991485258,0.01189306991485258,0.0,0.007648924831300974,0.007648924831300974,0.0,0.001
33,0.011797828211759528,0.011797828211759528,0.0,0.0005271264799375786,0.0005271264799375786,0.0,0.001
34,0.015885971797009308,0.015885971797009308,0.0,0.012555165216326714,0.012555165216326714,0.0,0.0005
35,0.015103007666766644,0.015103007666766644,0.0,0.002869076211936772,0.002869076211936772,0.0,0.0005
36,0.013712801194439331,0.013712801194439331,0.0,0.00030881644488545135,0.00030881644488545135,0.0,0.0005
