epoch,train_loss,train_data_loss,train_phys_loss,val_loss,val_data_loss,val_phys_loss,lr
1,0.6225527647137642,0.6225527647137642,0.0,0.007157264392541644,0.007157264392541644,0.0,0.001
2,0.030191326141357423,0.030191326141357423,0.0,0.071825726578633,0.071825726578633,0.0,0.001
3,0.009847610164433718,0.009847610164433718,0.0,0.02363431950410207,0.02363431950410207,0.0,0.001
4,0.00729764623567462,0.00729764623567462,0.0,0.0027716071811786,0.0027716071811786,0.0,0.001
5,0.006828856756910682,0.006828856756910682,0.0,0.0007241373829553291,0.0007241373829553291,0.0,0.001
6,0.005636940523982048,0.005636940523982048,0.0,0.0032095860612268248,0.0032095860612268248,0.0,0.001
7,0.004918911959975958,0.004918911959975958,0.0,0.0006202862787176855,0.0006202862787176855,0.0,0.001
8,0.004613354629836977,0.004613354629836977,0.0,0.005630340718198568,0.005630340718198568,0.0,0.001
9,0.005294712451286614,0.005294712451286614,0.0,0.0010278754404377348,0.0010278754404377348,0.0,0.001
10,0.004117802930995822,0.004117802930995822,0.0,0.00317208237053516,0.00317208237053516,0.0,0.001
11,0.0041467899829149245,0.0041467899829149245,0.0,0.0011195971086029506,0.0011195971086029506,0.0,0.001
12,0.004044744935818016,0.004044744935818016,0.0,0.0043101458965490265,0.0043101458965490265,0.0,0.001
13,0.0041560891922563315,0.0041560891922563315,0.0,0.0010486853864980124,0.0010486853864980124,0.0,0.001
14,0.0032401303946971893,0.0032401303946971893,0.0,0.001551489772585531,0.001551489772585531,0.0,0.001
15,0.003580903974361718,0.003580903974361718,0.0,0.0003781148698180914,0.0003781148698180914,0.0,0.001
16,0.004225458551663905,0.004225458551663905,0.0,0.0009121511059978123,0.0009121511059978123,0.0,0.001
17,0.0033806869899854065,0.0033806869899854065,0.0,0.0014484497090355337,0.0014484497090355337,0.0,0.001
18,0.0036941683432087304,0.0036941683432087304,0.0,0.0013294139304586376,0.0013294139304586376,0.0,0.001
19,0.004209574339911342,0.004209574339911342,0.0,0.00444496227040266,0.00444496227040266,0.0,0.001
20,0.0035283162638006615,0.0035283162638006615,0.0,0.0016992418968584388,0.0016992418968584388,0.0,0.001
21,0.0030261675803922115,0.0030261675803922115,0.0,0.00034017959023913136,0.00034017959023913136,0.0,0.001
22,0.0032666141586378218,0.0032666141586378218,0.0,0.0034529612942909202,0.0034529612942909202,0.0,0.001
23,0.003321614230517298,0.003321614230517298,0.0,0.00027021794630854856,0.00027021794630854856,0.0,0.001
24,0.002904332275502384,0.002904332275502384,0.0,0.0005196997080929577,0.0005196997080929577,0.0,0.001
25,0.003096579748671502,0.003096579748671502,0.0,0.00048269793205690803,0.00048269793205690803,0.0,0.001
26,0.0027499562141019853,0.0027499562141019853,0.0,0.000987523822914227,0.000987523822914227,0.0,0.001
27,0.003179583507589996,0.003179583507589996,0.0,0.0006854065080309132,0.0006854065080309132,0.0,0.001
28,0.0030904472421389075,0.0030904472421389075,0.0,0.0008207941536966246,0.0008207941536966246,0.0,0.001
29,0.0037260182946920396,0.0037260182946920396,0.0,0.0024146611394826323,0.0024146611394826323,0.0,0.001
30,0.003097027364419773,0.003097027364419773,0.0,0.0005225281720413477,0.0005225281720413477,0.0,0.001
