epoch,train_loss,train_data_loss,train_phys_loss,val_loss,val_data_loss,val_phys_loss,lr
1,2.547901670138041,2.547901670138041,0.0,1.8227630853652954,1.8227630853652954,0.0,0.001
2,2.329262296358744,2.329262296358744,0.0,1.6269709467887878,1.6269709467887878,0.0,0.001
3,2.05530575911204,2.05530575911204,0.0,1.3518895506858826,1.3518895506858826,0.0,0.001
4,1.5508023500442505,1.5508023500442505,0.0,0.8376696407794952,0.8376696407794952,0.0,0.001
5,0.6883527487516403,0.6883527487516403,0.0,0.06811602413654327,0.06811602413654327,0.0,0.001
6,0.09960875691225131,0.09960875691225131,0.0,0.5116692781448364,0.5116692781448364,0.0,0.001
7,0.2521372015277545,0.2521372015277545,0.0,0.3309204578399658,0.3309204578399658,0.0,0.001
8,0.050453546146551766,0.050453546146551766,0.0,0.007515543140470982,0.007515543140470982,0.0,0.001
9,0.03731319929162661,0.03731319929162661,0.0,0.020510456059128046,0.020510456059128046,0.0,0.001
10,0.021462978484729927,0.021462978484729927,0.0,0.06158357113599777,0.06158357113599777,0.0,0.001
11,0.021272342341641586,0.021272342341641586,0.0,0.003015090071130544,0.003015090071130544,0.0,0.001
12,0.015936059411615133,0.015936059411615133,0.0,0.014440756291151047,0.014440756291151047,0.0,0.001
13,0.015062208753079176,0.015062208753079176,0.0,0.02667747065424919,0.02667747065424919,0.0,0.001
14,0.012552015483379364,0.012552015483379364,0.0,0.005935427499935031,0.005935427499935031,0.0,0.001
15,0.016193928585077327,0.016193928585077327,0.0,0.017100033350288868,0.017100033350288868,0.0,0.001
16,0.015784486507376034,0.015784486507376034,0.0,0.014689124189317226,0.014689124189317226,0.0,0.001
17,0.014065515405188004,0.014065515405188004,0.0,0.022206412628293037,0.022206412628293037,0.0,0.001
18,0.0154231454556187,0.0154231454556187,0.0,0.013605667278170586,0.013605667278170586,0.0,0.001
19,0.014237581441799799,0.014237581441799799,0.0,0.0011865366832353175,0.0011865366832353175,0.0,0.001
20,0.023270001790175836,0.023270001790175836,0.0,0.011249902658164501,0.011249902658164501,0.0,0.001
21,0.014405742442856232,0.014405742442856232,0.0,0.023219936527311802,0.023219936527311802,0.0,0.001
22,0.01801162554572026,0.01801162554572026,0.0,0.01887769903987646,0.01887769903987646,0.0,0.001
23,0.0145317610198011,0.0145317610198011,0.0,0.0011769332486437634,0.0011769332486437634,0.0,0.001
24,0.017751925469686586,0.017751925469686586,0.0,0.007612336194142699,0.007612336194142699,0.0,0.001
25,0.01583654961238305,0.01583654961238305,0.0,0.0004509541467996314,0.0004509541467996314,0.0,0.001
26,0.014939775612826148,0.014939775612826148,0.0,0.02884923666715622,0.02884923666715622,0.0,0.001
27,0.01392813950466613,0.01392813950466613,0.0,0.009895961498841643,0.009895961498841643,0.0,0.001
28,0.01662171787271897,0.01662171787271897,0.0,0.001527318061562255,0.001527318061562255,0.0,0.001
29,0.014526252479602894,0.014526252479602894,0.0,0.004875578684732318,0.004875578684732318,0.0,0.001
30,0.008215376214745143,0.008215376214745143,0.0,0.003032147418707609,0.003032147418707609,0.0,0.001
31,0.014245395548641682,0.014245395548641682,0.0,0.009805305395275354,0.009805305395275354,0.0,0.001
32,0.012795620442678532,0.012795620442678532,0.0,0.006258308654651046,0.006258308654651046,0.0,0.001
33,0.011289138191690048,0.011289138191690048,0.0,0.0016909042606130242,0.0016909042606130242,0.0,0.001
34,0.013128602101157108,0.013128602101157108,0.0,0.007345843128859997,0.007345843128859997,0.0,0.001
35,0.013394569667677084,0.013394569667677084,0.0,0.0003541208425303921,0.0003541208425303921,0.0,0.001
36,0.011052010658507546,0.011052010658507546,0.0,0.0018155828292947263,0.0018155828292947263,0.0,0.001
37,0.014867564352850119,0.014867564352850119,0.0,0.004027151851914823,0.004027151851914823,0.0,0.001
38,0.010984704364091158,0.010984704364091158,0.0,0.00026086884463438764,0.00026086884463438764,0.0,0.001
39,0.00893166622457405,0.00893166622457405,0.0,0.007590369554236531,0.007590369554236531,0.0,0.001
40,0.013077168492600322,0.013077168492600322,0.0,0.00044905769755132496,0.00044905769755132496,0.0,0.001
41,0.013075006970514854,0.013075006970514854,0.0,0.005268480628728867,0.005268480628728867,0.0,0.001
42,0.01219949428923428,0.01219949428923428,0.0,0.00023108961431717034,0.00023108961431717034,0.0,0.001
43,0.012187171184147397,0.012187171184147397,0.0,0.019957727752625942,0.019957727752625942,0.0,0.001
44,0.012050634405265251,0.012050634405265251,0.0,0.0007631323678651825,0.0007631323678651825,0.0,0.001
